validation_loss,source,tokens
3.1839511394500732,Baseline-24,1000000000.0
3.0035715103149414,Baseline-24,2000000000.0
2.942126750946045,Baseline-24,3000000000.0
2.84865140914917,Baseline-24,4000000000.0
2.8165359497070312,Baseline-24,5000000000.0
2.795496940612793,Baseline-24,6000000000.0
2.752382278442383,Baseline-24,7000000000.0
2.765427589416504,Baseline-24,8000000000.0
2.776832342147827,Baseline-24,9000000000.0
2.727583408355713,Baseline-24,10000000000.0
3.396071672439575,GPTHF-16-8,1000000000.0
3.189275026321411,GPTHF-16-8,2000000000.0
3.1228549480438232,GPTHF-16-8,3000000000.0
3.024855375289917,GPTHF-16-8,4000000000.0
2.9853274822235107,GPTHF-16-8,5000000000.0
2.9671685695648193,GPTHF-16-8,6000000000.0
2.9157259464263916,GPTHF-16-8,7000000000.0
2.928851842880249,GPTHF-16-8,8000000000.0
2.939375877380371,GPTHF-16-8,9000000000.0
2.891223907470703,GPTHF-16-8,10000000000.0
3.322437286376953,Baseline-12,1000000000.0
3.1470398902893066,Baseline-12,2000000000.0
3.046786308288574,Baseline-12,3000000000.0
2.9941599369049072,Baseline-12,4000000000.0
2.9582409858703613,Baseline-12,5000000000.0
2.9245729446411133,Baseline-12,6000000000.0
2.920745372772217,Baseline-12,7000000000.0
2.885462760925293,Baseline-12,8000000000.0
2.8655283451080322,Baseline-12,9000000000.0
2.867433786392212,Baseline-12,10000000000.0
3.589390516281128,GPTHF-8-4,1000000000.0
3.3735809326171875,GPTHF-8-4,2000000000.0
3.2574448585510254,GPTHF-8-4,3000000000.0
3.1946024894714355,GPTHF-8-4,4000000000.0
3.153658866882324,GPTHF-8-4,5000000000.0
3.114332437515259,GPTHF-8-4,6000000000.0
3.1073086261749268,GPTHF-8-4,7000000000.0
3.0694258213043213,GPTHF-8-4,8000000000.0
3.0475945472717285,GPTHF-8-4,9000000000.0
3.046779155731201,GPTHF-8-4,10000000000.0
3.7409822940826416,LLaMA-12,1000000000.0
3.613611936569214,LLaMA-12,2000000000.0
3.5679051876068115,LLaMA-12,3000000000.0
3.488292932510376,LLaMA-12,4000000000.0
3.4563918113708496,LLaMA-12,5000000000.0
3.445638418197632,LLaMA-12,6000000000.0
3.41369366645813,LLaMA-12,7000000000.0
3.429044246673584,LLaMA-12,8000000000.0
3.3906962871551514,LLaMA-12,9000000000.0
3.4160773754119873,LLaMA-12,10000000000.0
3.670996904373169,LLaMA-24,1000000000.0
3.4747023582458496,LLaMA-24,2000000000.0
3.3892319202423096,LLaMA-24,3000000000.0
3.3353559970855713,LLaMA-24,4000000000.0
3.298182725906372,LLaMA-24,5000000000.0
3.2695155143737793,LLaMA-24,6000000000.0
3.2497713565826416,LLaMA-24,7000000000.0
3.234942674636841,LLaMA-24,8000000000.0
3.2212092876434326,LLaMA-24,9000000000.0
3.21390962600708,LLaMA-24,10000000000.0
3.836890697479248,OPT-125M,1000000000.0
3.7197225093841553,OPT-125M,2000000000.0
3.673811435699463,OPT-125M,3000000000.0
3.5927212238311768,OPT-125M,4000000000.0
3.5630416870117188,OPT-125M,5000000000.0
3.552675485610962,OPT-125M,6000000000.0
3.522672176361084,OPT-125M,7000000000.0
3.5393354892730713,OPT-125M,8000000000.0
3.501328945159912,OPT-125M,9000000000.0
3.528679370880127,OPT-125M,10000000000.0
3.717862844467163,OPT-350M,1000000000.0
3.536792755126953,OPT-350M,2000000000.0
3.4608638286590576,OPT-350M,3000000000.0
3.4126193523406982,OPT-350M,4000000000.0
3.3810038566589355,OPT-350M,5000000000.0
3.355292558670044,OPT-350M,6000000000.0
3.338456869125366,OPT-350M,7000000000.0
3.322157382965088,OPT-350M,8000000000.0
3.3136990070343018,OPT-350M,9000000000.0
3.307480573654175,OPT-350M,10000000000.0
